x,y,1h,2h,3h,4h,1g,2g,3g,4g,1f,2f,3f,4f,1e,2e,3e,4e
449.467,670.358,17.948,29.4213,4.47366,7.8416,15.6497,19.5066,5.63719,9.93017,44.8392,41.3811,12.4283,18.1936,8.44141,12.5323,1.46803,6.35582
449.546,570.358,17.4751,19.7091,1.72087,12.6422,17.6925,18.5232,2.05984,11.4575,40.3517,33.2761,3.0971,41.8204,11.3133,12.7453,1.57918,12.8634
449.626,470.358,24.1629,7.78566,9.05643,31.9582,12.3028,5.48754,3.26799,13.8764,35.7299,21.6759,21.2052,43.9828,9.00963,6.15896,5.39262,13.8223
449.705,370.358,10.2066,0.89975,13.3008,27.492,12.8118,1.38742,12.8162,12.5187,37.5567,3.76947,49.0508,45.4829,11.1607,1.37217,10.9411,10.54
449.785,270.358,6.12893,3.06294,27.8914,21.18,5.84918,2.32314,11.1208,12.0837,12.285,10.7736,42.5387,45.7357,3.27656,1.78082,11.8256,10.4621
499.467,670.398,20.8874,29.3803,5.38517,3.3013,12.9632,13.0768,6.48331,9.70901,44.3571,54.9056,13.7225,22.3769,9.63717,9.93215,3.11422,2.8491
499.546,570.398,31.9106,24.312,2.36368,16.6385,19.8876,13.3539,3.38673,12.1134,39.8425,60.9167,4.96293,35.7496,7.70222,9.45998,1.33062,10.6544
499.626,470.398,29.5657,4.46636,8.80805,22.7936,10.0198,5.31206,5.41279,17.9397,57.6497,22.2296,17.5447,66.6792,14.1645,8.67151,6.04997,9.74063
499.705,370.398,18.1253,1.0837,25.9987,22.8285,19.0174,2.73243,16.1983,15.2557,47.5008,2.96734,42.6081,47.6871,16.964,1.48714,11.9311,12.3478
499.785,270.398,8.34772,4.93718,23.3424,19.5965,11.7487,4.12432,17.0223,16.2825,26.297,17.5496,51.5419,55.8886,7.73272,3.34529,13.9237,3.12727
549.466,670.438,27.553,35.7573,22.0427,21.4274,16.4812,23.8231,18.9068,16.9737,44.3044,68.6373,60.9519,62.9878,4.98972,17.7114,5.93995,11.0202
549.546,570.438,20.1559,41.0847,11.5684,26.1472,15.2489,17.5985,10.6563,17.0044,54.8249,72.0121,38.9708,56.0934,6.79243,15.7641,4.94511,19.5025
549.626,470.438,21.5968,19.5781,25.5856,35.4839,21.1754,24.0336,16.5534,20.2555,49.6177,53.1202,54.3242,60.8568,19.2835,9.98937,11.9353,13.3256
549.705,370.438,38.6413,16.0503,35.3703,28.9202,24.3552,19.7127,27.6463,14.216,57.8767,45.4306,72.9307,49.4956,13.7973,7.12955,17.6759,11.0936
549.785,270.438,17.7898,19.94,38.3544,15.7145,16.1574,12.7998,34.6799,12.0163,58.035,47.1037,61.126,52.0148,9.09295,12.5337,18.3844,5.68644
599.466,670.478,26.9722,36.5813,39.4074,35.6096,11.169,22.8254,34.0817,23.3078,29.8889,80.4966,102.359,95.4826,6.67791,17.5246,17.1703,24.2637
599.546,570.478,24.4411,42.9574,30.1338,42.748,13.0515,30.2952,26.7097,27.1445,47.3133,103.052,84.3445,77.1487,5.96995,29.1414,23.7845,29.5657
599.626,470.478,31.2653,46.4365,42.4201,28.815,18.4729,38.2978,30.1794,19.9272,60.2442,90.7235,91.0565,58.1025,6.90992,19.0368,26.1571,14.2377
599.705,370.478,31.2488,35.0978,43.8947,21.7077,28.3633,28.7906,42.0828,14.9959,80.2376,79.5034,95.9044,47.5134,20.1601,15.2114,24.6394,8.32343
599.785,270.478,29.232,36.6658,40.4217,17.7914,27.6919,33.7699,29.3196,9.59225,91.5062,93.2999,66.0548,31.717,28.106,16.4665,15.1034,4.73735
