x,y,1h,2h,3h,4h,1g,2g,3g,4g,1f,2f,3f,4f,1e,2e,3e,4e
449.467,670.358,3.36937,5.52325,0.839839,1.4721,3.52042,4.38802,1.26809,2.2338,5.76836,5.32349,1.59885,2.34053,2.11155,3.13485,0.367217,1.58986
449.546,570.358,3.28059,3.69998,0.323058,2.37331,3.97994,4.16681,0.463363,2.57737,5.19106,4.28081,0.398428,5.38001,2.82992,3.18814,0.39502,3.21767
449.626,470.358,4.53609,1.4616,1.70016,5.99949,2.76753,1.23443,0.735135,3.1215,4.59649,2.7885,2.72795,5.65819,2.25369,1.54061,1.34892,3.45754
449.705,370.358,1.91607,0.16891,2.49696,5.16106,2.88201,0.312102,2.88302,2.81609,4.8315,0.484925,6.31017,5.85116,2.79176,0.343237,2.73684,2.6365
449.785,270.358,1.15058,0.575005,5.23605,3.97611,1.31578,0.522592,2.50163,2.71823,1.58041,1.38597,5.47242,5.88369,0.819606,0.445457,2.95809,2.61702
499.467,670.398,3.92118,5.51555,1.01096,0.619753,2.91609,2.94164,1.45843,2.18405,5.70634,7.06336,1.76534,2.87869,2.41066,2.48445,0.778998,0.712679
499.546,570.398,5.99056,4.56409,0.443732,3.12354,4.47374,3.00397,0.761846,2.72493,5.12556,7.83666,0.638459,4.59902,1.92665,2.36634,0.332844,2.66511
499.626,470.398,5.55036,0.838468,1.65353,4.27903,2.25395,1.19495,1.21761,4.03555,7.41637,2.85974,2.25704,8.57798,3.54314,2.16911,1.51335,2.43654
499.705,370.398,3.40266,0.203443,4.88073,4.28559,4.27797,0.614663,3.64381,3.43179,6.11076,0.381735,5.48134,6.13473,4.24341,0.371995,2.98447,3.08869
499.785,270.398,1.56711,0.926855,4.38206,3.67885,2.64288,0.927768,3.82917,3.66275,3.38299,2.25768,6.63063,7.18982,1.93428,0.836798,3.48289,0.782261
549.466,670.438,5.17251,6.71271,4.13807,4.02256,3.70746,5.35902,4.25309,3.81824,5.69956,8.82988,7.84119,8.10309,1.24814,4.43038,1.48583,2.7566
549.546,570.438,3.78385,7.71281,2.17173,4.9086,3.43025,3.9588,2.39715,3.82516,7.05298,9.26403,5.01342,7.21616,1.69907,3.94326,1.23698,4.8784
549.626,470.438,4.05436,3.67539,4.80318,6.66138,4.76343,5.40636,3.7237,4.5565,6.3831,6.83367,6.98856,7.82896,4.82362,2.49876,2.98552,3.33329
549.705,370.438,7.25412,3.01312,6.64005,5.42918,5.47872,4.4344,6.21906,3.19791,7.44557,5.84445,9.3822,6.36738,3.45129,1.7834,4.42148,2.77497
549.785,270.438,3.33968,3.74334,7.20026,2.95007,3.63461,2.87931,7.80127,2.70309,7.46595,6.05967,7.86359,6.69148,2.27453,3.1352,4.59872,1.42242
599.466,670.478,5.06349,6.8674,7.39794,6.68498,2.51248,5.13459,7.6667,5.2431,3.84507,10.3555,13.1681,12.2834,1.67043,4.38363,4.29501,6.06936
599.546,570.478,4.58833,8.06437,5.65701,8.02507,2.93595,6.81493,6.00836,6.10617,6.08664,13.2572,10.8505,9.92483,1.49334,7.28948,5.94951,7.39561
599.626,470.478,5.86943,8.71751,7.9635,5.40943,4.15549,8.61511,6.78887,4.48264,7.75015,11.6712,11.714,7.47462,1.72846,4.76191,6.543,3.56144
599.705,370.478,5.86633,6.58889,8.24033,4.07519,6.38033,6.47647,9.46655,3.37333,10.3222,10.2278,12.3377,6.11238,5.04289,3.805,6.16334,2.08204
599.785,270.478,5.48771,6.88325,7.58835,3.33997,6.2293,7.59655,6.59546,2.15778,11.7719,12.0026,8.49765,4.08025,7.03049,4.11896,3.778,1.18501
649.466,670.518,4.34166,5.35119,13.4651,8.39662,2.74083,4.64323,12.9281,9.24611,3.42707,8.47617,15.1421,13.6017,1.4934,2.22361,7.51138,5.69189
649.546,570.518,3.34219,9.27175,12.6804,5.90234,2.3027,5.68951,11.8739,6.10359,5.90237,10.7439,16.4049,7.22558,0.829325,4.30877,9.40956,7.41498
649.626,470.518,6.74176,10.5262,9.66425,5.9522,4.62079,10.918,7.46827,4.07489,4.64853,13.8191,13.9225,6.80433,3.13273,9.47396,9.73938,3.12502
649.705,370.518,6.64573,11.1481,12.2924,4.09731,4.29859,12.8599,6.46579,2.72289,8.5413,14.4659,12.3147,4.275,3.16974,8.13126,3.76632,2.48714
649.785,270.518,10.1132,9.74549,4.85743,2.86953,11.4004,10.3528,3.70564,3.0672,13.0079,16.156,7.50834,2.65606,6.24085,8.08953,3.2916,0.599563
699.466,670.557,2.53188,5.45455,5.97781,5.74094,2.51815,2.61712,7.37582,5.98314,3.06632,6.43201,9.34977,7.72805,1.78673,2.42722,4.72459,3.93648
699.546,570.557,1.99308,6.64291,9.46205,5.98716,1.65133,5.80786,6.64902,3.18485,3.81477,6.4964,9.00247,5.97828,0.886432,2.94454,5.72786,3.78527
699.626,470.557,2.94867,5.09661,7.21753,3.14962,3.79474,5.69275,5.38792,1.88546,4.07605,10.9292,8.83487,5.01506,0.97467,4.51054,7.4286,1.49555
699.705,370.557,5.36694,7.38598,6.0171,2.68222,3.019,7.23671,5.58421,2.09648,5.37697,10.4198,7.55037,2.74794,3.20923,6.20643,3.06534,1.43099
699.785,270.557,4.44361,6.60932,3.25557,3.78422,5.0547,5.91174,4.75443,1.35457,5.98562,9.23832,7.119,3.47756,2.63272,4.42928,2.1841,0.785917
749.466,670.597,2.56336,3.45329,3.72808,3.38181,1.73771,2.90818,2.78548,2.96571,1.64141,2.51409,4.82436,4.22272,0.633954,1.32048,1.38356,1.87009
749.546,570.597,1.62327,3.22252,3.70728,2.93871,2.12027,3.36523,3.72905,2.79464,2.43663,5.07576,4.65337,3.87284,0.333645,1.06137,1.68183,1.42163
749.626,470.597,1.11294,3.90119,5.23653,3.6017,2.27267,2.92659,3.20926,2.24994,2.75686,3.89172,4.46452,3.13696,1.91676,1.58881,2.33353,1.33215
749.705,370.597,2.45657,4.51893,3.05142,1.58519,3.4792,4.31172,4.20629,2.15355,3.95327,5.1285,4.337,2.23767,0.980659,1.84398,2.7179,1.0555
749.785,270.597,3.02189,4.50747,3.90895,2.19685,2.46031,3.06925,1.49405,2.32561,4.31734,4.52164,3.55451,3.01136,1.77482,1.9308,1.25778,0.619024
799.466,670.637,1.08697,2.59813,2.57281,2.0268,1.02746,2.04763,1.76982,1.53751,1.69986,2.69133,3.63488,2.68574,0.449174,1.05989,0.707193,1.50554
799.546,570.637,1.90244,2.11705,2.64783,1.85817,3.19254,1.68496,1.64316,1.61641,1.66289,4.03537,3.27435,2.01393,0.465684,2.37256,1.39681,0.673738
799.626,470.637,2.35459,3.56529,2.65601,1.75274,2.27363,1.58655,2.26679,1.98886,2.30527,2.41842,3.12385,2.85236,0.936355,1.15794,1.2776,1.1079
799.705,370.637,1.77789,2.32252,2.70418,2.39937,1.27185,2.81218,1.28998,1.53897,2.52111,2.15539,3.24178,2.34375,0.864741,1.06477,1.25063,0.905577
799.785,270.637,2.39242,3.00085,3.29507,1.75199,1.67574,1.7891,1.6996,1.49934,3.06051,3.43079,2.92591,1.24681,0.523475,1.11634,1.28551,0.789912
849.466,670.677,2.01069,0.923572,1.66431,2.20939,1.09396,2.23341,1.51954,1.38633,1.35779,2.29144,2.32424,1.84738,0.000289838,0.195256,0.969001,0.704233
849.546,570.677,1.10651,1.62488,2.96998,1.62566,1.90208,1.84513,0.975042,1.13711,1.8878,2.02561,2.36786,2.23563,0.489715,1.10612,0.845028,0.269817
849.626,470.677,1.5879,2.2732,2.42197,1.46436,1.77578,1.31516,1.62282,0.594344,1.81687,2.94985,2.49578,1.66288,0.714738,1.17869,0.593054,1.23691
849.705,370.677,1.96807,1.73975,2.11367,2.47048,1.17628,1.78841,0.919433,1.45718,1.84639,1.50328,1.61063,1.44,0.912034,0.578935,0.7118,0.226524
849.785,270.677,1.95936,1.85185,1.51882,1.71001,1.18378,1.4717,1.07198,2.00825,1.59064,1.35464,2.33789,1.94799,0.940811,1.83372,0.771566,0.00199689
899.466,670.717,1.83158,1.05881,1.80532,1.42786,1.22773,1.14821,1.52545,1.08737,1.30744,1.50071,1.0462,1.13497,0.00574774,1.07327,0.62504,0.748943
899.546,570.717,0.87291,1.57588,1.0776,0.773601,0.456406,0.996324,1.06258,1.75556,1.57822,1.71022,1.86613,1.25322,0.181837,0.513881,0.890313,0.273662
899.626,470.717,1.12476,1.33041,1.15667,0.878199,0.766145,1.76806,0.500158,0.635824,1.24431,1.875,1.93885,1.02621,0.849269,0.221455,0.619474,0.395697
