x,y,1h,2h,3h,4h,1g,2g,3g,4g,1f,2f,3f,4f,1e,2e,3e,4e
449.467,670.358,40.0513,56.9541,26.8803,17.8912,21.9503,28.6983,14.0432,15.0981,76.2214,103.876,43.0695,46.3432,12.8471,22.589,10.1719,12.4502
449.546,570.358,50.6687,34.0488,18.48,24.4736,28.6197,20.4444,15.9558,18.2793,89.1016,85.2415,38.9792,87.5327,23.2618,16.7579,9.90949,14.0231
449.626,470.358,44.3673,30.8949,22.0891,52.7523,29.0639,12.4699,12.6336,28.553,91.3757,55.1148,53.333,115.537,20.8706,13.4645,9.13218,17.7164
449.705,370.358,28.0174,17.6116,35.3669,43.1256,16.567,9.13943,28.9851,39.0461,67.6008,39.233,70.704,88.3634,18.4067,11.447,23.7464,25.1589
449.785,270.358,17.4741,21.522,49.4767,45.555,17.6295,19.0029,30.8604,25.5209,45.5103,50.0617,104.046,88.5951,13.5987,15.9772,12.81,12.4009
499.467,670.398,34.4035,56.8631,29.2606,22.9937,24.5075,37.1088,10.2728,19.9665,69.8169,119.029,62.9275,62.3301,11.9435,31.403,12.8984,13.2595
499.546,570.398,37.547,33.2161,17.934,45.9971,23.465,39.4267,14.3714,29.4866,84.6377,111.743,54.1417,108.44,19.3798,17.834,9.11115,24.3124
499.626,470.398,52.4306,20.427,16.3985,57.7618,23.2487,16.218,20.5679,40.0547,115.925,75.0645,72.2558,109.775,20.1868,18.9862,15.3466,29.3384
499.705,370.398,30.7513,18.7646,46.6363,55.0553,33.4988,12.4877,29.6413,42.7707,92.1356,59.0546,112.158,102.554,21.2235,10.723,25.8901,22.074
499.785,270.398,22.837,18.1742,67.1968,38.9638,14.9957,11.1196,41.9599,25.8157,67.4648,62.9655,116.753,81.8704,16.0786,15.4734,24.7758,18.6933
549.466,670.438,31.1762,67.5476,40.5699,36.1816,24.2404,39.9324,32.7798,44.5524,64.2595,145.866,135.538,113.71,7.67119,35.7544,25.4191,21.5828
549.546,570.438,40.2756,59.8857,38.611,51.2326,27.7323,43.0297,31.459,47.3525,90.9305,145.776,132.526,150.457,17.8133,30.3003,17.6965,26.1475
549.626,470.438,56.7513,45.654,44.983,64.5864,51.4941,34.0261,30.8972,40.5262,137.356,115.824,141.868,109.32,25.7205,17.39,18.2614,32.0416
549.705,370.438,57.6383,44.0761,68.9926,60.6111,42.4257,34.5102,53.328,31.1721,146.06,137.726,140.992,103.142,31.1794,14.7661,42.254,13.1096
549.785,270.438,37.0239,42.2152,62.1763,30.128,32.6804,28.0059,54.9889,24.7973,109.044,136.184,140.48,60.0458,26.7919,22.3688,40.02,12.6361
599.466,670.478,35.8803,62.7877,63.6104,69.6119,22.9255,48.6769,45.2559,60.2215,53.2339,121.171,195.647,174.904,9.92397,21.5919,36.8592,38.6685
599.546,570.478,42.5009,87.7463,62.533,69.5492,20.2875,60.1244,47.105,68.2657,74.3728,172.349,162.541,159.794,9.30855,40.2003,37.6091,42.8606
599.626,470.478,46.0272,69.5559,57.3849,59.6467,33.5205,52.8746,63.2165,39.1013,101.088,180.047,168.475,103.256,30.8701,44.7031,41.8981,26.3585
599.705,370.478,65.513,54.7112,66.746,37.3433,56.6339,47.9927,54.4331,17.6846,146.77,184.511,186.423,86.8911,42.6969,34.0785,43.8769,11.6753
599.785,270.478,57.452,53.0517,71.8776,36.5435,47.658,51.2931,51.3541,16.1609,155.794,175.938,142.652,53.5296,29.06,34.8528,24.0427,8.99199
649.466,670.518,26.8684,60.8447,91.1136,79.407,20.9392,29.8397,81.5064,63.6212,52.1641,83.8615,162.334,146.472,3.98551,21.7027,48.8888,53.3172
649.546,570.518,30.973,67.4758,86.5354,67.1563,17.5422,38.6855,88.6402,37.785,65.354,121.843,183.979,135.901,8.70889,38.4376,58.6698,27.4292
649.626,470.518,40.9546,99.5651,81.1998,38.2675,22.7248,87.067,73.8044,30.6885,78.2056,193.407,187.675,84.4767,18.7957,47.9361,41.8774,16.6914
649.705,370.518,68.8045,100.38,74.4962,32.123,44.1556,90.37,49.2035,21.1632,107.48,199.821,124.418,65.4279,31.5399,56.7365,43.7113,15.7941
649.785,270.518,72.0259,90.5601,42.5247,16.8166,66.8624,76.6343,28.9723,21.6511,152.042,209.334,87.4738,45.4163,32.5304,54.7305,23.5654,5.29263
699.466,670.557,26.9672,44.6504,69.2575,55.6552,14.0018,26.738,52.7335,27.6452,34.2317,74.5616,118.063,99.9384,7.13211,15.8783,32.9168,26.8236
699.546,570.557,23.842,46.909,76.2037,41.503,17.3427,39.5661,49.014,24.8858,52.8569,103.202,146.726,85.6693,11.2786,19.783,34.4939,21.4911
699.626,470.557,28.3095,55.7215,63.3463,22.8647,24.7758,37.5136,56.45,31.9192,56.4017,134.024,119.347,58.941,16.206,32.5179,30.259,9.92083
699.705,370.557,42.4248,83.4896,43.011,34.1811,24.0993,52.0973,29.387,16.4199,81.4978,118.681,107.619,41.5596,11.439,31.4792,23.1523,14.5472
699.785,270.557,63.7568,57.8687,48.3371,23.532,24.872,54.9438,18.1682,16.1531,84.5204,127.742,66.8097,32.2813,17.7751,28.1021,14.1512,6.24409
749.466,670.597,20.3259,32.9499,46.2817,36.1953,6.87394,18.1423,25.9313,19.6013,34.1955,59.5734,80.1188,85.3089,4.08741,12.3783,17.4976,11.5048
749.546,570.597,22.638,37.8426,46.4565,35.7425,16.0071,22.2144,21.9311,21.7684,36.1544,87.7496,94.9152,70.163,6.83063,17.1854,18.8558,10.6753
749.626,470.597,33.8266,56.6187,43.251,20.7752,21.5643,30.48,33.0657,20.9948,51.1502,87.304,77.3538,52.6704,10.9279,12.3954,18.8355,10.8088
749.705,370.597,29.7416,53.6707,35.7762,24.8989,14.8715,33.991,23.8445,10.7039,67.348,95.7458,87.7347,47.7328,10.3817,17.824,15.7267,12.1175
749.785,270.597,25.9459,39.5917,31.3221,16.3631,21.9159,30.4289,23.5804,11.8864,72.977,98.2548,56.7598,29.7244,12.827,14.0838,9.97149,4.67566
799.466,670.637,11.3386,15.2831,30.3962,34.7075,11.9464,17.0415,20.8221,12.358,22.5054,48.2322,63.4464,55.2802,3.62247,11.7447,14.1366,13.7423
799.546,570.637,19.7426,32.235,39.4717,35.9842,12.6564,15.0008,26.6889,16.1321,34.5866,50.9676,69.4232,51.8978,7.27885,5.20645,12.0649,13.2004
799.626,470.637,28.1183,35.2876,31.6365,18.1546,10.129,15.3801,25.5499,17.3683,46.4303,63.7858,59.7595,44.0739,4.89286,10.2578,14.6016,8.02806
799.705,370.637,17.2348,40.5908,26.3323,22.7072,13.8721,27.2472,14.2421,9.85266,42.6956,62.9246,56.5315,32.6113,8.09545,11.9929,13.1929,5.6948
799.785,270.637,21.4281,36.4395,27.4585,15.4016,14.5687,27.666,12.7375,6.75959,57.9895,54.344,41.7837,23.5084,8.52826,11.3521,7.08998,3.36729
849.466,670.677,14.3444,22.2134,27.4613,23.7117,10.7704,18.2342,21.6488,18.291,21.5642,29.8588,56.8465,41.9569,1.35938,5.61661,14.8633,8.33376
849.546,570.677,23.8646,25.3128,17.3027,17.5222,11.6975,13.254,18.8395,10.2032,27.6489,49.2237,50.1711,28.3044,5.26901,14.0424,9.26143,5.72545
