x,y,1h,2h,3h,4h,1g,2g,3g,4g,1f,2f,3f,4f,1e,2e,3e,4e
449.467,670.358,7.51881,10.692,5.04623,3.35871,4.93773,6.4557,3.15902,3.39632,9.80554,13.3632,5.5407,5.96185,3.21359,5.65046,2.54443,3.11431
449.546,570.358,9.51202,6.39198,3.46924,4.59442,6.43802,4.59898,3.58926,4.11194,11.4625,10.9659,5.0145,11.2607,5.81875,4.19186,2.47878,3.50777
449.626,470.358,8.32905,5.79988,4.14677,9.90318,6.53794,2.80512,2.84194,6.42302,11.7551,7.09027,6.86105,14.8633,5.22062,3.36804,2.28434,4.43162
449.705,370.358,5.25969,3.30622,6.63942,8.09595,3.72675,2.05592,6.52021,8.78344,8.69654,5.04715,9.09575,11.3676,4.60428,2.86338,5.93997,6.29329
449.785,270.358,3.28041,4.04032,9.28825,8.55203,3.96577,4.27472,6.94206,5.74095,5.85469,6.44021,13.385,11.3974,3.4016,3.99657,3.20431,3.10199
499.467,670.398,6.45856,10.6749,5.49307,4.3166,5.51298,8.34765,2.31088,4.49148,8.98163,15.3125,8.09535,8.01849,2.98757,7.85521,3.22642,3.31675
499.546,570.398,7.04868,6.23564,3.36674,8.63501,5.27846,8.86905,3.23285,6.63303,10.8883,14.3753,6.96508,13.9503,4.84771,4.46102,2.27908,6.08154
499.626,470.398,9.84278,3.83474,3.07849,10.8436,5.22981,3.64825,4.62677,9.01032,14.9133,9.65671,9.29538,14.1221,5.04958,4.74924,3.83883,7.33877
499.705,370.398,5.77292,3.52266,8.75501,10.3355,7.53559,2.80911,6.66782,9.62129,11.8528,7.5971,14.4286,13.1931,5.30889,2.68227,6.4762,5.52163
499.785,270.398,4.28718,3.41183,12.6148,7.31466,3.37329,2.50137,9.43891,5.80725,8.67904,8.10023,15.0197,10.5323,4.02194,3.87054,6.19748,4.67597
549.466,670.438,5.8527,12.6807,7.61617,6.79235,5.4529,8.98282,7.37384,10.0221,8.26669,18.7651,17.4363,14.6282,1.91889,8.94368,6.35839,5.39876
549.546,570.438,7.56092,11.2423,7.24842,9.61787,6.23841,9.67956,7.07673,10.652,11.6978,18.7534,17.0489,19.3556,4.45586,7.57938,4.42663,6.54059
549.626,470.438,10.6539,8.57061,8.44464,12.1248,11.5836,7.65418,6.95036,9.11639,17.6703,14.9003,18.2507,14.0635,6.43378,4.34997,4.56793,8.01495
549.705,370.438,10.8204,8.27439,12.952,11.3785,9.54368,7.76309,11.9962,7.01218,18.79,17.7178,18.1379,13.2688,7.79927,3.69361,10.5695,3.27926
549.785,270.438,6.95049,7.92504,11.6723,5.65591,7.35148,6.29995,12.3698,5.57816,14.0281,17.5195,18.0721,7.72462,6.70177,5.59539,10.0107,3.16082
599.466,670.478,6.73579,11.7871,11.9416,13.0682,5.15711,10.9499,10.1803,13.5469,6.8483,15.5881,25.1691,22.5006,2.4824,5.40105,9.22004,9.67262
599.546,570.478,7.97867,16.4726,11.7393,13.0564,4.56368,13.525,10.5963,15.3564,9.56773,22.1719,20.9102,20.5568,2.32846,10.0558,9.40763,10.7212
599.626,470.478,8.64067,13.0577,10.7728,11.1975,7.54046,11.8942,14.2206,8.79586,13.0045,23.1622,21.6736,13.2834,7.7219,11.1821,10.4805,6.59335
599.705,370.478,12.2987,10.2709,12.5302,7.01044,12.7398,10.796,12.2448,3.97816,18.8813,23.7365,23.9824,11.1781,10.6803,8.52447,10.9754,2.92049
599.785,270.478,10.7855,9.95938,13.4936,6.8603,10.7207,11.5384,11.5521,3.6354,20.0422,22.6336,18.3516,6.88634,7.26913,8.71816,6.01408,2.24927
649.466,670.518,5.044,11.4224,17.1047,14.9071,4.71029,6.71245,18.3349,14.3116,6.71068,10.7884,20.8836,18.843,0.996943,5.42877,12.2291,13.3369
649.546,570.518,5.81455,12.6672,16.2453,12.6072,3.94613,8.70234,19.9397,8.49975,8.4075,15.6745,23.668,17.4831,2.17846,9.61486,14.6758,6.86119
649.626,470.518,7.68839,18.6913,15.2436,7.18394,5.11196,19.5858,16.6024,6.90339,10.0608,24.8809,24.1436,10.8676,4.70159,11.9908,10.4753,4.17523
649.705,370.518,12.9166,18.8442,13.9851,6.03044,9.93283,20.3288,11.0684,4.76067,13.8269,25.7061,16.0058,8.417,7.88946,14.1922,10.934,3.95075
649.785,270.518,13.5214,17.0008,7.98314,3.15697,15.0408,17.2389,6.51734,4.87042,19.5595,26.9298,11.2531,5.84261,8.13722,13.6904,5.8947,1.32391
699.466,670.557,5.06253,8.3822,13.0017,10.4481,3.14972,6.01474,11.8624,6.2188,4.40375,9.59201,15.1883,12.8566,1.78404,3.97184,8.23387,6.70971
699.546,570.557,4.47585,8.80622,14.3057,7.79134,3.90126,8.90042,11.0257,5.59807,6.7998,13.2765,18.8757,11.021,2.82126,4.94857,8.62837,5.37583
699.626,470.557,5.31453,10.4606,11.892,4.29239,5.57334,8.4387,12.6985,7.18024,7.25583,17.2416,15.3534,7.5825,4.05381,8.1341,7.56904,2.48162
699.705,370.557,7.9644,15.6735,8.07444,6.41681,5.42116,11.7193,6.61063,3.69368,10.4843,15.2677,13.8447,5.34646,2.86138,7.87427,5.79136,3.63886
699.785,270.557,11.969,10.8637,9.07431,4.41765,5.59497,12.3596,4.08695,3.63365,10.8732,16.4334,8.59477,4.15284,4.4463,7.02951,3.5398,1.56191
749.466,670.597,3.81577,6.18568,8.68844,6.79494,1.5463,4.08113,5.83326,4.40932,4.3991,7.66385,10.3069,10.9746,1.02243,3.09634,4.37689,2.87783
749.546,570.597,4.24982,7.10417,8.72126,6.70993,3.60081,4.99713,4.93341,4.89683,4.6511,11.2886,12.2104,9.02615,1.70863,4.29879,4.71663,2.67034
749.626,470.597,6.35026,10.629,8.11949,3.90013,4.85089,6.8565,7.43814,4.72279,6.58025,11.2313,9.95121,6.77582,2.73353,3.10062,4.71154,2.70373
749.705,370.597,5.58338,10.0756,6.71625,4.67426,3.34534,7.64629,5.36382,2.40785,8.66402,12.3173,11.2867,6.1406,2.59689,4.45854,3.93391,3.0311
749.785,270.597,4.87082,7.43254,5.88009,3.07183,4.92999,6.84501,5.30444,2.67385,9.38816,12.64,7.3019,3.82391,3.20856,3.52294,2.49429,1.16958
799.466,670.637,2.12859,2.86909,5.70626,6.51563,2.68736,3.83349,4.68395,2.77994,2.89522,6.20486,8.16209,7.11155,0.906132,2.93784,3.53615,3.43754
799.546,570.637,3.70627,6.05147,7.41001,6.7553,2.84706,3.37444,6.00368,3.62892,4.44942,6.55675,8.93098,6.67641,1.82074,1.30235,3.01794,3.30196
