x,y,1h,2h,3h,4h,1g,2g,3g,4g,1f,2f,3f,4f,1e,2e,3e,4e
449.467,670.358,8.2631,11.4814,5.45869,3.66375,6.88199,6.72752,4.99114,5.36418,11.9644,17.8188,7.76465,8.26916,3.41234,8.19665,4.41732,4.51932
449.546,570.358,9.39225,8.44518,3.26722,8.25973,8.18045,6.05262,4.47632,7.88024,11.6335,13.4666,7.08808,12.2567,6.39366,6.07804,3.41627,4.68273
449.626,470.358,10.5595,5.24209,5.43455,11.5497,8.90217,5.59828,6.03239,8.51563,14.2506,10.2024,7.3598,17.267,9.06187,4.84835,4.47017,10.2731
449.705,370.358,6.50943,4.04941,7.52605,10.7714,6.44788,4.7009,7.74502,9.00075,11.9096,7.52172,11.7752,13.8597,3.53481,3.37982,5.59963,5.14215
449.785,270.358,3.54206,4.97103,13.6128,10.4653,4.74243,3.8895,9.05868,7.01018,7.24808,7.10061,15.7303,11.8413,4.21744,5.01122,6.60284,3.95442
499.467,670.398,8.61144,14.3252,4.97193,4.43356,8.22487,11.3695,5.0108,5.41036,10.2114,20.7057,11.7774,11.6019,3.3243,7.02835,2.39039,2.54833
499.546,570.398,10.2864,11.5061,4.12539,9.75538,10.4399,10.7045,6.25092,6.84991,15.2453,16.5729,8.85201,15.3958,4.5829,5.58048,3.89184,5.59294
499.626,470.398,14.314,5.5293,5.23591,12.3954,9.03805,5.26372,4.94495,12.3,17.9983,11.5318,12.1857,20.6862,8.98718,4.84294,3.18862,8.52672
499.705,370.398,9.05934,4.45976,10.0683,12.2672,7.48286,4.78343,8.3711,10.94,15.9603,10.0348,18.4353,17.7449,5.89707,5.70529,6.76956,8.98691
499.785,270.398,4.93254,4.04525,14.7178,8.17929,5.82585,5.32408,13.8949,6.19265,11.2235,11.6855,22.1297,12.3269,4.62475,4.37427,9.24836,4.1836
549.466,670.438,8.39573,16.7349,11.8638,10.8854,6.73759,14.2975,9.65018,7.9761,9.55153,21.4186,23.0426,19.5052,4.11732,10.5062,7.481,8.78879
549.546,570.438,10.1338,13.7219,6.65645,13.4836,8.01626,11.8426,8.8055,13.4769,14.5264,25.8528,18.1776,22.5956,6.5865,10.3653,9.50528,9.1377
